starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 68 | bound: 0 | nc: 1 | ncall: 1042 | eff(%):  6.526 | loglstar:   -inf < -557.692 <    inf | logz: -565.335 +/-  0.125 | dlogz: 572.335 >  0.010                                               
iter: 69 | bound: 0 | nc: 1 | ncall: 1043 | eff(%):  6.616 | loglstar:   -inf < -551.180 <    inf | logz: -558.821 +/-  0.125 | dlogz: 558.159 >  0.010                                               
iter: 70 | bound: 0 | nc: 2 | ncall: 1045 | eff(%):  6.699 | loglstar:   -inf < -542.538 <    inf | logz: -550.182 +/-  0.125 | dlogz: 551.644 >  0.010                                               
iter: 71 | bound: 0 | nc: 1 | ncall: 1046 | eff(%):  6.788 | loglstar:   -inf < -538.965 <    inf | logz: -546.556 +/-  0.123 | dlogz: 543.005 >  0.010                                               
iter: 72 | bound: 0 | nc: 1 | ncall: 1047 | eff(%):  6.877 | loglstar:   -inf < -538.594 <    inf | logz: -545.357 +/-  0.116 | dlogz: 539.378 >  0.010                                               
iter: 73 | bound: 0 | nc: 1 | ncall: 1048 | eff(%):  6.966 | loglstar:   -inf < -538.493 <    inf | logz: -544.731 +/-  0.111 | dlogz: 538.178 >  0.010                                               
iter: 74 | bound: 0 | nc: 1 | ncall: 1049 | eff(%):  7.054 | loglstar:   -inf < -537.294 <    inf | logz: -544.012 +/-  0.110 | dlogz: 537.551 >  0.010                                               
iter: 75 | bound: 0 | nc: 1 | ncall: 1050 | eff(%):  7.143 | loglstar:   -inf < -533.661 <    inf | logz: -541.221 +/-  0.122 | dlogz: 536.830 >  0.010                                               
iter: 76 | bound: 0 | nc: 1 | ncall: 1051 | eff(%):  7.231 | loglstar:   -inf < -532.875 <    inf | logz: -539.856 +/-  0.116 | dlogz: 534.039 >  0.010                                               
iter: 77 | bound: 0 | nc: 1 | ncall: 1052 | eff(%):  7.319 | loglstar:   -inf < -526.395 <    inf | logz: -534.043 +/-  0.125 | dlogz: 532.672 >  0.010                                               
