starting
Job is running on node c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi2_uchuu_all_Msatmocks_covglam4.h5
Condition number: 87325.44877121199
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi2 built with train_tag _George_xrsqmean_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 757
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 60 | bound: 0 | nc: 1 | ncall: 1033 | eff(%):  5.808 | loglstar:   -inf < -16.584 <    inf | logz: -21.653 +/-  0.094 | dlogz: 21.729 >  0.010                                                  
iter: 61 | bound: 0 | nc: 1 | ncall: 1034 | eff(%):  5.899 | loglstar:   -inf < -16.556 <    inf | logz: -21.508 +/-  0.094 | dlogz: 21.565 >  0.010                                                  
iter: 62 | bound: 0 | nc: 1 | ncall: 1035 | eff(%):  5.990 | loglstar:   -inf < -16.400 <    inf | logz: -21.370 +/-  0.093 | dlogz: 21.419 >  0.010                                                  
iter: 63 | bound: 0 | nc: 1 | ncall: 1036 | eff(%):  6.081 | loglstar:   -inf < -15.700 <    inf | logz: -21.180 +/-  0.093 | dlogz: 21.280 >  0.010                                                  
iter: 64 | bound: 0 | nc: 1 | ncall: 1037 | eff(%):  6.172 | loglstar:   -inf < -15.511 <    inf | logz: -20.953 +/-  0.094 | dlogz: 21.089 >  0.010                                                  
iter: 65 | bound: 0 | nc: 1 | ncall: 1038 | eff(%):  6.262 | loglstar:   -inf < -15.279 <    inf | logz: -20.729 +/-  0.094 | dlogz: 20.861 >  0.010                                                  
iter: 66 | bound: 0 | nc: 1 | ncall: 1039 | eff(%):  6.352 | loglstar:   -inf < -14.924 <    inf | logz: -20.489 +/-  0.095 | dlogz: 20.636 >  0.010                                                  
iter: 67 | bound: 0 | nc: 1 | ncall: 1040 | eff(%):  6.442 | loglstar:   -inf < -14.842 <    inf | logz: -20.256 +/-  0.095 | dlogz: 20.395 >  0.010                                                  
iter: 68 | bound: 0 | nc: 1 | ncall: 1041 | eff(%):  6.532 | loglstar:   -inf < -14.026 <    inf | logz: -19.955 +/-  0.096 | dlogz: 20.161 >  0.010                                                  
iter: 69 | bound: 0 | nc: 1 | ncall: 1042 | eff(%):  6.622 | loglstar:   -inf < -13.888 <    inf | logz: -19.628 +/-  0.097 | dlogz: 19.859 >  0.010                                                  
