starting
Job is running on node c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_mcf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 923.7538480211496
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for mcf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 652
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 49 | bound: 0 | nc: 1 | ncall: 1024 | eff(%):  4.785 | loglstar:   -inf < -45.309 <    inf | logz: -51.469 +/-  0.105 | dlogz: 50.714 >  0.010                                                  
iter: 50 | bound: 0 | nc: 1 | ncall: 1025 | eff(%):  4.878 | loglstar:   -inf < -45.281 <    inf | logz: -51.084 +/-  0.104 | dlogz: 50.121 >  0.010                                                  
iter: 51 | bound: 0 | nc: 2 | ncall: 1027 | eff(%):  4.966 | loglstar:   -inf < -45.125 <    inf | logz: -50.784 +/-  0.103 | dlogz: 49.735 >  0.010                                                  
iter: 52 | bound: 0 | nc: 1 | ncall: 1028 | eff(%):  5.058 | loglstar:   -inf < -44.692 <    inf | logz: -50.479 +/-  0.102 | dlogz: 49.433 >  0.010                                                  
iter: 53 | bound: 0 | nc: 1 | ncall: 1029 | eff(%):  5.151 | loglstar:   -inf < -44.393 <    inf | logz: -50.162 +/-  0.101 | dlogz: 49.128 >  0.010                                                  
iter: 54 | bound: 0 | nc: 1 | ncall: 1030 | eff(%):  5.243 | loglstar:   -inf < -44.366 <    inf | logz: -49.888 +/-  0.100 | dlogz: 48.810 >  0.010                                                  
iter: 55 | bound: 0 | nc: 1 | ncall: 1031 | eff(%):  5.335 | loglstar:   -inf < -44.359 <    inf | logz: -49.669 +/-  0.099 | dlogz: 48.534 >  0.010                                                  
iter: 56 | bound: 0 | nc: 3 | ncall: 1034 | eff(%):  5.416 | loglstar:   -inf < -43.952 <    inf | logz: -49.450 +/-  0.099 | dlogz: 48.315 >  0.010                                                  
iter: 57 | bound: 0 | nc: 1 | ncall: 1035 | eff(%):  5.507 | loglstar:   -inf < -43.664 <    inf | logz: -49.206 +/-  0.098 | dlogz: 48.094 >  0.010                                                  
iter: 58 | bound: 0 | nc: 1 | ncall: 1036 | eff(%):  5.598 | loglstar:   -inf < -43.373 <    inf | logz: -48.952 +/-  0.098 | dlogz: 47.849 >  0.010                                                  
iter: 59 | bound: 0 | nc: 2 | ncall: 1038 | eff(%):  5.684 | loglstar:   -inf < -42.917 <    inf | logz: -48.666 +/-  0.098 | dlogz: 47.594 >  0.010                                                  
iter: 60 | bound: 0 | nc: 1 | ncall: 1039 | eff(%):  5.775 | loglstar:   -inf < -42.701 <    inf | logz: -48.373 +/-  0.098 | dlogz: 47.307 >  0.010                                                  
iter: 61 | bound: 0 | nc: 1 | ncall: 1040 | eff(%):  5.865 | loglstar:   -inf < -42.525 <    inf | logz: -48.105 +/-  0.098 | dlogz: 47.013 >  0.010                                                  
iter: 62 | bound: 0 | nc: 1 | ncall: 1041 | eff(%):  5.956 | loglstar:   -inf < -42.445 <    inf | logz: -47.869 +/-  0.098 | dlogz: 46.744 >  0.010                                                  
iter: 63 | bound: 0 | nc: 1 | ncall: 1042 | eff(%):  6.046 | loglstar:   -inf < -42.342 <    inf | logz: -47.661 +/-  0.097 | dlogz: 46.507 >  0.010                                                  
iter: 64 | bound: 0 | nc: 1 | ncall: 1043 | eff(%):  6.136 | loglstar:   -inf < -42.170 <    inf | logz: -47.466 +/-  0.097 | dlogz: 46.298 >  0.010                                                  
iter: 65 | bound: 0 | nc: 1 | ncall: 1044 | eff(%):  6.226 | loglstar:   -inf < -42.145 <    inf | logz: -47.289 +/-  0.096 | dlogz: 46.102 >  0.010                                                  
iter: 66 | bound: 0 | nc: 1 | ncall: 1045 | eff(%):  6.316 | loglstar:   -inf < -41.999 <    inf | logz: -47.125 +/-  0.095 | dlogz: 45.924 >  0.010                                                  
iter: 67 | bound: 0 | nc: 1 | ncall: 1046 | eff(%):  6.405 | loglstar:   -inf < -41.944 <    inf | logz: -46.971 +/-  0.095 | dlogz: 45.759 >  0.010                                                  
iter: 68 | bound: 0 | nc: 1 | ncall: 1047 | eff(%):  6.495 | loglstar:   -inf < -41.651 <    inf | logz: -46.813 +/-  0.094 | dlogz: 45.604 >  0.010                                                  
iter: 69 | bound: 0 | nc: 1 | ncall: 1048 | eff(%):  6.584 | loglstar:   -inf < -41.614 <    inf | logz: -46.656 +/-  0.094 | dlogz: 45.445 >  0.010                                                  
iter: 70 | bound: 0 | nc: 1 | ncall: 1049 | eff(%):  6.673 | loglstar:   -inf < -41.218 <    inf | logz: -46.487 +/-  0.094 | dlogz: 45.287 >  0.010                                                  
iter: 71 | bound: 0 | nc: 1 | ncall: 1050 | eff(%):  6.762 | loglstar:   -inf < -41.065 <    inf | logz: -46.304 +/-  0.094 | dlogz: 45.117 >  0.010                                                  
iter: 72 | bound: 0 | nc: 2 | ncall: 1052 | eff(%):  6.844 | loglstar:   -inf < -40.906 <    inf | logz: -46.125 +/-  0.094 | dlogz: 44.932 >  0.010                                                  
iter: 73 | bound: 0 | nc: 1 | ncall: 1053 | eff(%):  6.933 | loglstar:   -inf < -40.807 <    inf | logz: -45.955 +/-  0.094 | dlogz: 44.753 >  0.010                                                  
iter: 74 | bound: 0 | nc: 2 | ncall: 1055 | eff(%):  7.014 | loglstar:   -inf < -40.584 <    inf | logz: -45.785 +/-  0.093 | dlogz: 44.582 >  0.010                                                  
iter: 75 | bound: 0 | nc: 1 | ncall: 1056 | eff(%):  7.102 | loglstar:   -inf < -40.380 <    inf | logz: -45.609 +/-  0.093 | dlogz: 44.411 >  0.010                                                  
iter: 76 | bound: 0 | nc: 1 | ncall: 1057 | eff(%):  7.190 | loglstar:   -inf < -39.783 <    inf | logz: -45.386 +/-  0.094 | dlogz: 44.234 >  0.010                                                  
iter: 77 | bound: 0 | nc: 1 | ncall: 1058 | eff(%):  7.278 | loglstar:   -inf < -39.228 <    inf | logz: -45.083 +/-  0.095 | dlogz: 44.010 >  0.010                                                  
iter: 78 | bound: 0 | nc: 1 | ncall: 1059 | eff(%):  7.365 | loglstar:   -inf < -39.169 <    inf | logz: -44.790 +/-  0.096 | dlogz: 43.706 >  0.010                                                  
iter: 79 | bound: 0 | nc: 1 | ncall: 1060 | eff(%):  7.453 | loglstar:   -inf < -39.055 <    inf | logz: -44.545 +/-  0.096 | dlogz: 43.411 >  0.010                                                  
iter: 80 | bound: 0 | nc: 1 | ncall: 1061 | eff(%):  7.540 | loglstar:   -inf < -38.978 <    inf | logz: -44.331 +/-  0.096 | dlogz: 43.165 >  0.010                                                  
iter: 81 | bound: 0 | nc: 1 | ncall: 1062 | eff(%):  7.627 | loglstar:   -inf < -38.929 <    inf | logz: -44.144 +/-  0.096 | dlogz: 42.950 >  0.010                                                  
iter: 82 | bound: 0 | nc: 1 | ncall: 1063 | eff(%):  7.714 | loglstar:   -inf < -38.113 <    inf | logz: -43.894 +/-  0.096 | dlogz: 42.763 >  0.010                                                  
iter: 83 | bound: 0 | nc: 1 | ncall: 1064 | eff(%):  7.801 | loglstar:   -inf < -38.075 <    inf | logz: -43.623 +/-  0.097 | dlogz: 42.512 >  0.010                                                  
iter: 84 | bound: 0 | nc: 1 | ncall: 1065 | eff(%):  7.887 | loglstar:   -inf < -38.037 <    inf | logz: -43.402 +/-  0.096 | dlogz: 42.239 >  0.010                                                  
iter: 85 | bound: 0 | nc: 1 | ncall: 1066 | eff(%):  7.974 | loglstar:   -inf < -37.940 <    inf | logz: -43.210 +/-  0.096 | dlogz: 42.017 >  0.010                                                  
iter: 86 | bound: 0 | nc: 1 | ncall: 1067 | eff(%):  8.060 | loglstar:   -inf < -37.807 <    inf | logz: -43.031 +/-  0.096 | dlogz: 41.824 >  0.010                                                  
iter: 87 | bound: 0 | nc: 1 | ncall: 1068 | eff(%):  8.146 | loglstar:   -inf < -37.586 <    inf | logz: -42.851 +/-  0.095 | dlogz: 41.644 >  0.010                                                  
iter: 88 | bound: 0 | nc: 1 | ncall: 1069 | eff(%):  8.232 | loglstar:   -inf < -37.541 <    inf | logz: -42.681 +/-  0.095 | dlogz: 41.464 >  0.010                                                  
iter: 89 | bound: 0 | nc: 1 | ncall: 1070 | eff(%):  8.318 | loglstar:   -inf < -37.284 <    inf | logz: -42.512 +/-  0.095 | dlogz: 41.292 >  0.010                                                  
iter: 90 | bound: 0 | nc: 1 | ncall: 1071 | eff(%):  8.403 | loglstar:   -inf < -37.188 <    inf | logz: -42.343 +/-  0.094 | dlogz: 41.122 >  0.010                                                  
iter: 91 | bound: 0 | nc: 1 | ncall: 1072 | eff(%):  8.489 | loglstar:   -inf < -37.177 <    inf | logz: -42.192 +/-  0.094 | dlogz: 40.953 >  0.010                                                  
iter: 92 | bound: 0 | nc: 1 | ncall: 1073 | eff(%):  8.574 | loglstar:   -inf < -37.011 <    inf | logz: -42.049 +/-  0.094 | dlogz: 40.800 >  0.010                                                  
iter: 93 | bound: 0 | nc: 1 | ncall: 1074 | eff(%):  8.659 | loglstar:   -inf < -36.707 <    inf | logz: -41.892 +/-  0.093 | dlogz: 40.656 >  0.010                                                  
iter: 94 | bound: 0 | nc: 2 | ncall: 1076 | eff(%):  8.736 | loglstar:   -inf < -36.671 <    inf | logz: -41.735 +/-  0.093 | dlogz: 40.499 >  0.010                                                  
iter: 95 | bound: 0 | nc: 1 | ncall: 1077 | eff(%):  8.821 | loglstar:   -inf < -36.644 <    inf | logz: -41.596 +/-  0.093 | dlogz: 40.341 >  0.010                                                  
iter: 96 | bound: 0 | nc: 1 | ncall: 1078 | eff(%):  8.905 | loglstar:   -inf < -36.570 <    inf | logz: -41.468 +/-  0.093 | dlogz: 40.200 >  0.010                                                  
iter: 97 | bound: 0 | nc: 1 | ncall: 1079 | eff(%):  8.990 | loglstar:   -inf < -36.433 <    inf | logz: -41.342 +/-  0.092 | dlogz: 40.071 >  0.010                                                  
iter: 98 | bound: 0 | nc: 1 | ncall: 1080 | eff(%):  9.074 | loglstar:   -inf < -36.183 <    inf | logz: -41.208 +/-  0.092 | dlogz: 39.944 >  0.010                                                  
iter: 99 | bound: 0 | nc: 1 | ncall: 1081 | eff(%):  9.158 | loglstar:   -inf < -35.672 <    inf | logz: -41.035 +/-  0.092 | dlogz: 39.809 >  0.010                                                  
